SOLUTION
1 n120w8

ASSIGNMENTS = 505
NU_42 Tue Late Caretaker
NU_42 Thu Late Nurse
NU_42 Fri Late Nurse
NU_42 Sat Late Nurse
NU_42 Sun Late Caretaker
NU_43 Sat Day Nurse
NU_43 Sun Day Caretaker
NU_44 Mon Day Nurse
NU_44 Tue Day Nurse
NU_44 Sat Early Caretaker
NU_44 Sun Early Nurse
NU_45 Mon Night Nurse
NU_45 Tue Night Caretaker
NU_45 Wed Night Caretaker
NU_45 Thu Night Nurse
NU_45 Sat Day Nurse
NU_45 Sun Day Nurse
NU_46 Mon Day Nurse
NU_46 Tue Day Nurse
NU_46 Wed Late Nurse
NU_46 Thu Late Nurse
NU_46 Fri Late Nurse
NU_47 Wed Late Caretaker
NU_47 Thu Late Nurse
NU_47 Fri Late Nurse
NU_48 Mon Day Nurse
NU_48 Tue Day Nurse
NU_48 Wed Day Caretaker
NU_48 Thu Day Nurse
NU_48 Fri Day Nurse
NU_49 Mon Early Nurse
NU_49 Tue Early Nurse
NU_49 Wed Early Nurse
NU_49 Fri Day Nurse
NU_49 Sat Day Caretaker
NU_49 Sun Night Nurse
CT_50 Tue Day Caretaker
CT_50 Wed Day Caretaker
CT_50 Thu Day Caretaker
CT_50 Fri Late Caretaker
CT_51 Mon Early Caretaker
CT_51 Tue Early Caretaker
CT_51 Wed Early Caretaker
CT_52 Mon Late Caretaker
CT_52 Tue Late Caretaker
CT_52 Wed Late Caretaker
CT_52 Fri Day Caretaker
CT_52 Sat Day Caretaker
CT_52 Sun Early Caretaker
CT_53 Tue Early Caretaker
CT_53 Wed Early Caretaker
CT_53 Thu Early Caretaker
CT_53 Fri Early Caretaker
CT_54 Mon Late Caretaker
CT_54 Tue Late Caretaker
CT_54 Wed Late Caretaker
CT_54 Thu Late Caretaker
CT_55 Mon Night Caretaker
CT_55 Tue Night Caretaker
CT_55 Wed Night Caretaker
CT_55 Thu Night Caretaker
CT_56 Wed Early Caretaker
CT_56 Thu Early Caretaker
CT_56 Fri Late Caretaker
CT_57 Fri Day Caretaker
CT_57 Sat Day Caretaker
CT_57 Sun Day Caretaker
CT_58 Tue Early Caretaker
CT_58 Wed Early Caretaker
CT_58 Thu Late Caretaker
CT_58 Fri Late Caretaker
CT_59 Mon Early Caretaker
CT_59 Tue Day Caretaker
CT_59 Wed Day Caretaker
CT_59 Thu Night Caretaker
CT_59 Fri Night Caretaker
CT_60 Mon Day Caretaker
CT_60 Tue Day Caretaker
CT_60 Wed Late Caretaker
CT_60 Thu Late Caretaker
CT_60 Fri Late Caretaker
CT_61 Wed Day Caretaker
CT_61 Thu Day Caretaker
CT_61 Fri Day Caretaker
CT_61 Sat Early Caretaker
CT_61 Sun Early Caretaker
CT_62 Tue Early Caretaker
CT_62 Wed Early Caretaker
CT_62 Thu Early Caretaker
CT_62 Fri Early Caretaker
CT_63 Mon Night Caretaker
CT_63 Tue Night Caretaker
CT_63 Wed Night Caretaker
CT_63 Thu Night Caretaker
CT_64 Mon Day Caretaker
CT_64 Tue Day Caretaker
CT_64 Fri Night Caretaker
CT_64 Sat Night Caretaker
CT_64 Sun Night Caretaker
CT_65 Thu Night Caretaker
CT_65 Fri Night Caretaker
CT_65 Sat Night Caretaker
CT_65 Sun Night Caretaker
CT_66 Mon Night Caretaker
CT_66 Tue Night Caretaker
CT_66 Wed Night Caretaker
CT_67 Mon Late Caretaker
CT_67 Tue Late Caretaker
CT_67 Wed Late Caretaker
CT_67 Thu Late Caretaker
CT_68 Mon Late Caretaker
CT_68 Tue Late Caretaker
CT_68 Thu Day Caretaker
CT_68 Fri Day Caretaker
CT_69 Mon Late Caretaker
CT_69 Tue Late Caretaker
CT_69 Thu Early Caretaker
CT_69 Fri Early Caretaker
CT_69 Sat Day Caretaker
CT_69 Sun Day Caretaker
CT_70 Mon Day Caretaker
CT_70 Tue Day Caretaker
CT_70 Thu Early Caretaker
CT_70 Fri Early Caretaker
CT_71 Wed Day Caretaker
CT_71 Thu Day Caretaker
CT_71 Fri Day Caretaker
CT_71 Sat Late Caretaker
CT_71 Sun Late Caretaker
CT_72 Mon Day Caretaker
CT_72 Tue Day Caretaker
CT_72 Wed Late Caretaker
CT_72 Thu Late Caretaker
CT_73 Mon Early Caretaker
CT_73 Tue Early Caretaker
CT_73 Wed Day Caretaker
CT_73 Thu Day Caretaker
CT_74 Mon Early Caretaker
CT_74 Tue Early Caretaker
CT_74 Wed Early Caretaker
CT_74 Sat Night Caretaker
CT_74 Sun Night Caretaker
CT_75 Mon Day Caretaker
CT_75 Tue Day Caretaker
CT_75 Wed Day Caretaker
CT_75 Thu Late Caretaker
CT_75 Fri Late Caretaker
CT_76 Wed Early Caretaker
CT_76 Thu Day Caretaker
CT_76 Fri Late Caretaker
CT_76 Sat Late Caretaker
CT_76 Sun Late Caretaker
CT_77 Tue Early Caretaker
CT_77 Wed Early Caretaker
CT_77 Thu Early Caretaker
CT_77 Fri Early Caretaker
CT_78 Tue Day Caretaker
CT_78 Wed Day Caretaker
CT_78 Thu Early Caretaker
CT_78 Fri Early Caretaker
CT_79 Tue Day Caretaker
CT_79 Wed Day Caretaker
CT_79 Thu Early Caretaker
CT_79 Fri Early Caretaker
CT_79 Sat Early Caretaker
CT_79 Sun Early Caretaker
CT_80 Mon Night Caretaker
CT_80 Tue Night Caretaker
CT_80 Thu Late Caretaker
CT_80 Fri Late Caretaker
CT_81 Mon Night Caretaker
CT_81 Wed Night Caretaker
CT_81 Thu Night Caretaker
CT_81 Fri Night Caretaker
CT_82 Mon Late Caretaker
CT_82 Tue Late Caretaker
CT_82 Wed Late Caretaker
CT_82 Fri Day Caretaker
CT_82 Sat Day Caretaker
CT_82 Sun Early Caretaker
CT_83 Mon Late Caretaker
CT_83 Tue Late Caretaker
CT_83 Fri Night Caretaker
CT_83 Sat Night Caretaker
CT_83 Sun Night Caretaker
CT_84 Mon Night Caretaker
CT_84 Tue Night Caretaker
CT_84 Wed Night Caretaker
CT_84 Sat Late Caretaker
CT_84 Sun Late Caretaker
CT_85 Tue Late Caretaker
CT_85 Wed Late Caretaker
CT_85 Thu Late Caretaker
CT_85 Fri Late Caretaker
CT_86 Mon Early Caretaker
CT_86 Tue Early Caretaker
CT_86 Wed Day Caretaker
CT_86 Thu Day Caretaker
CT_86 Fri Day Caretaker
CT_87 Mon Night Caretaker
CT_87 Tue Night Caretaker
CT_87 Wed Night Caretaker
CT_87 Thu Night Caretaker
CT_87 Fri Night Caretaker
CT_88 Mon Day Caretaker
CT_88 Tue Day Caretaker
CT_88 Sat Early Caretaker
CT_88 Sun Early Caretaker
CT_89 Thu Night Caretaker
CT_89 Fri Night Caretaker
CT_89 Sat Night Caretaker
CT_89 Sun Night Caretaker
TR_90 Mon Day Trainee
TR_90 Tue Day Trainee
TR_90 Wed Early Trainee
TR_90 Thu Early Trainee
TR_91 Mon Late Trainee
TR_91 Tue Late Trainee
TR_91 Thu Day Trainee
TR_91 Fri Day Trainee
TR_92 Mon Day Trainee
TR_92 Tue Day Trainee
TR_92 Wed Late Trainee
TR_92 Thu Late Trainee
TR_93 Mon Early Trainee
TR_94 Mon Early Trainee
TR_94 Tue Early Trainee
TR_94 Wed Early Trainee
TR_94 Sat Early Trainee
TR_94 Sun Day Trainee
TR_95 Mon Early Trainee
TR_95 Thu Night Trainee
TR_95 Fri Night Trainee
TR_96 Mon Late Trainee
TR_96 Tue Late Trainee
TR_96 Wed Late Trainee
TR_96 Sat Day Trainee
TR_96 Sun Late Trainee
TR_97 Mon Late Trainee
TR_97 Tue Late Trainee
TR_97 Wed Late Trainee
TR_97 Sat Night Trainee
TR_97 Sun Night Trainee
TR_98 Tue Late Trainee
TR_98 Wed Night Trainee
TR_98 Thu Night Trainee
TR_98 Fri Night Trainee
TR_99 Mon Night Trainee
TR_99 Thu Early Trainee
TR_99 Fri Early Trainee
TR_100 Mon Late Trainee
TR_100 Tue Late Trainee
TR_100 Wed Night Trainee
TR_100 Thu Night Trainee
TR_100 Fri Night Trainee
TR_101 Tue Early Trainee
TR_101 Wed Early Trainee
TR_101 Thu Day Trainee
TR_101 Fri Day Trainee
TR_102 Tue Day Trainee
TR_102 Wed Day Trainee
TR_102 Thu Late Trainee
TR_102 Fri Late Trainee
TR_102 Sat Late Trainee
TR_103 Mon Night Trainee
TR_103 Tue Night Trainee
TR_103 Wed Night Trainee
TR_104 Tue Day Trainee
TR_104 Wed Day Trainee
TR_104 Thu Day Trainee
TR_104 Fri Day Trainee
TR_105 Wed Day Trainee
TR_105 Thu Day Trainee
TR_105 Fri Day Trainee
TR_106 Tue Night Trainee
TR_106 Wed Night Trainee
TR_106 Thu Night Trainee
TR_106 Fri Night Trainee
TR_107 Thu Late Trainee
TR_107 Fri Late Trainee
TR_107 Sat Night Trainee
TR_107 Sun Night Trainee
TR_108 Mon Early Trainee
TR_108 Tue Early Trainee
TR_108 Wed Early Trainee
TR_108 Thu Early Trainee
TR_108 Fri Early Trainee
TR_109 Mon Early Trainee
TR_109 Tue Early Trainee
TR_109 Wed Early Trainee
TR_109 Thu Late Trainee
TR_109 Fri Late Trainee
TR_110 Mon Night Trainee
TR_110 Thu Early Trainee
TR_110 Fri Early Trainee
TR_111 Mon Night Trainee
TR_111 Tue Night Trainee
TR_111 Wed Night Trainee
TR_111 Thu Night Trainee
TR_111 Fri Night Trainee
TR_112 Tue Early Trainee
TR_112 Wed Early Trainee
TR_112 Thu Late Trainee
TR_112 Sat Late Trainee
TR_112 Sun Late Trainee
TR_113 Mon Day Trainee
TR_113 Tue Day Trainee
TR_113 Wed Day Trainee
TR_113 Sat Day Trainee
TR_113 Sun Day Trainee
TR_114 Mon Early Trainee
TR_114 Tue Early Trainee
TR_114 Wed Early Trainee
TR_114 Sat Day Trainee
TR_114 Sun Late Trainee
TR_115 Mon Day Trainee
TR_115 Tue Day Trainee
TR_115 Wed Day Trainee
TR_115 Thu Day Trainee
TR_116 Mon Night Trainee
TR_116 Tue Night Trainee
TR_116 Fri Early Trainee
TR_116 Sat Early Trainee
TR_116 Sun Early Trainee
TR_117 Mon Late Trainee
TR_117 Tue Late Trainee
TR_117 Wed Late Trainee
TR_117 Sat Day Trainee
TR_117 Sun Early Trainee
TR_118 Mon Day Trainee
TR_118 Tue Night Trainee
TR_118 Wed Night Trainee
TR_118 Thu Night Trainee
TR_119 Wed Early Trainee
TR_119 Thu Early Trainee
TR_119 Fri Late Trainee
TR_119 Sat Late Trainee
TR_119 Sun Night Trainee
